APP,CVE ID,Second Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score,Version End Excluding,Version End Including
Zoom,CVE-2023-36535,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow an authenticated user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39218,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow a privileged user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,4.9,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39214,"
Exposure of sensitive information in Zoom Client SDK's before 5.15.5 may allow an authenticated user to enable a denial of service via network access.

",NETWORK,LOW,HIGH,NONE,HIGH,8.1,HIGH,NULL,NULL,5.15.5,
Zoom,CVE-2023-39215,Una autenticación inadecuada en los clientes de Zoom puede permitir que un usuario autenticado realice una denegación de servicio a través del acceso a la red.  ,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.15.5,
Zoom,CVE-2023-39199,Los problemas criptográficos con el chat durante la reunión para algunos clientes de Zoom pueden permitir que un usuario privilegiado realice una divulgación de información a través del acceso a la red.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39204,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.15.10,
Zoom,CVE-2023-39205,La verificación de condiciones inadecuadas en Zoom Team Chat para clientes de Zoom puede permitir que un usuario autenticado lleve a cabo una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39206,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.16.0,
Zoom,CVE-2023-43582,La autorización inadecuada en algunos clientes de Zoom puede permitir que un usuario autorizado realice una escalada de privilegios a través del acceso a la red.,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,5.16.0,
Zoom,CVE-2023-43583,"Los problemas criptográficos de la aplicación Zoom Mobile para Android, la aplicación Zoom Mobile para iOS y los SDK de Zoom para Android e iOS anteriores a la versión 5.16.0 pueden permitir que un usuario privilegiado realice una divulgación de información a través del acceso a la red.",NETWORK,LOW,HIGH,NONE,NONE,4.9,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-49646,La autenticación incorrecta en Zoom clients anteriores a la versión 5.16.5 puede permitir que un usuario autenticado realice una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.16.5,
LastPass,CVE-2013-5113,"LastPass versiones anteriores a 2.5.1, presenta una implementación de PIN no segura.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL,2.5.1,
LastPass,CVE-2013-5114,"LastPass versiones anteriores a 2.5.1, permite una omisión de limpieza segura.",PHYSICAL,LOW,HIGH,HIGH,NONE,6.1,MEDIUM,NULL,NULL,2.5.1,
OneNote,CVE-2023-21721,Microsoft OneNote Elevation of Privilege Vulnerability,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,16.0.16026.20158,
TikTok,CVE-2022-28799,La aplicación TikTok antes de la versión 23.7.3 para Android permite la toma de posesión de cuentas. Una URL crafteada (deeplink no validado) puede forzar el com.zhiliaoapp.musically WebView a cargar un sitio web arbitrario. Esto puede permitir a un atacante aprovechar una interfaz JavaScript adjunta para la toma de posesión con un solo clic.,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,23.7.3,
Microsoft 365,CVE-2023-24910,Windows Graphics Component Elevation of Privilege Vulnerability,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,,
Firefox,CVE-2012-3979,"Mozilla Firefox anterior a v15.0 en Android no implementa correctamente los (callers) de la función __android_log_print, lo que permite a atacantes remotos ejecutar código arbitrario a través de una página web diseñada que llama a la función de volcado JavaScript.",NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,,14.0
Firefox,CVE-2020-15666,"Cuando se intenta cargar un archivo que no es de video en un contexto de audio y video, el código de estado exacto (200, 302, 404, 500, 412, 403, etc.) fue revelado por medio del MediaError Message.&#xa0;Este nivel de filtración de información es inconsistente con la divulgación estandarizada onerror/onsuccess y puede conllevar a inferir el estado de inicio de sesión a los servicios o a la detección de dispositivos en una red local, entre otros ataques.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80",NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-15668,Un candado esta faltando al acceder a una estructura de datos e importar información del certificado hacia la base de datos confiable.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-15670,"Los desarrolladores de Mozilla reportaron de unos bugs de seguridad de la memoria presentes en Firefox para Android versión 79. Algunos de estos bugs han mostrado evidencia de corrupción de la memoria y suponemos que con suficiente esfuerzo algunos de ellos podrían haber sido explotados para ejecutar código arbitrario.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80, Firefox ESR versiones anteriores a 78.2, Thunderbird versiones anteriores a 78.2 y Firefox para Android versiones anteriores a 80",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,80.0,
Firefox,CVE-2020-15671,"Cuando se escribe una contraseña bajo determinadas condiciones, es posible que se haya producido una carrera en la que InputContext no estaba siendo ajustado correctamente para el campo de entrada, resultando en que la contraseña escrita se guardada en el diccionario del teclado.&#xa0;Esta vulnerabilidad afecta a Firefox para Android versiones anteriores a 80",NETWORK,HIGH,LOW,NONE,NONE,3.1,LOW,NULL,NULL,80.0,
Firefox,CVE-2020-12400,"Cuando se convierten coordenadas desde una descriptiva a afín, la inversión modular no se llevó a cabo en un tiempo constante, resultando en un posible ataque de canal lateral basado en sincronización.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80",LOCAL,HIGH,HIGH,NONE,NONE,4.7,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-12401,"Durante la generación de firmas ECDSA, fue removido el relleno aplicado en el nonce diseñado para asegurar la multiplicación escalar de tiempo constante, resultando en una ejecución de tiempo variable dependiente de datos secretos.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80",LOCAL,HIGH,HIGH,NONE,NONE,4.7,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-6829,"Cuando se lleva a cabo la multiplicación de puntos escalares EC, se usó el algoritmo de multiplicación de puntos wNAF;&#xa0;que filtró información parcial sobre el nonce usado durante la generación de firmas.&#xa0;Dado un rastro electromagnético de unas pocas generaciones de firmas, la clave privada podría haberse calculado.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80",NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-26954,"Al aceptar un intent malicioso de otras aplicaciones instaladas, Firefox para Android aceptó manifiestos de rutas de archivo arbitrarias y permitió declarar manifiestos de aplicaciones web para otros orígenes. Esto podría ser usado para conseguir acceso a la pantalla completa para la suplantación de identidad y también podría conllevar a ataques de tipo cross-origin en sitios web específicos. *Nota: Este problema sólo afectaba a Firefox para Android. Otros sistemas operativos no están afectados. Esta vulnerabilidad afecta a Firefox versiones anteriores a 83",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26955,"Cuando un usuario descargaba un archivo en Firefox para Android, si una cookie es ajustada, ésta habría sido reenviada durante una operación posterior de descarga de archivos en el mismo dominio, independientemente de si la petición original y posterior se encontraban en modos de navegación privados y no privados. *Nota: Este problema sólo afectaba a Firefox para Android. Los demás sistemas operativos no están afectados.*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 83",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26957,OneCRL no funcionaba en el nuevo Firefox para Android debido a una falta de inicialización del servicio. Esto podría resultar en un fallo en la aplicación de algunas revocaciones de certificados. *Nota: Este problema sólo afectaba a Firefox para Android. Otros sistemas operativos no están afectados.* Esta vulnerabilidad afecta a Firefox versiones anteriores a 83,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26964,"Si la funcionalidad Remote Debugging via USB estaba habilitada en Firefox para Android en una versión de Android anterior a Android 6.0, las aplicaciones no confiables podrían haberse conectado a la funcionalidad y operar con los privilegios del navegador para leer e interactuar con el contenido web.&#xa0;La funcionalidad fue implementada como un socket de dominio Unix, protegido por la política SELinux de Android;&#xa0;sin embargo, SELinux no se aplicó para versiones anteriores a 6.0.&#xa0;Esto se corrigió al eliminar la funcionalidad Remote Debugging via USB de los dispositivos afectados.&#xa0;*Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 83",NETWORK,HIGH,HIGH,HIGH,NONE,6.8,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26975,"Cuando una aplicación maliciosa instalada en el dispositivo del usuario transmitió un Intent a Firefox para Android, se podrían haber especificado encabezados arbitrarios, conllevando a ataques como abuso de autoridad ambiental o fijación de sesiones.&#xa0;Esto se resolvió permitiendo solo determinados encabezados en la lista segura.&#xa0;*Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 84",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,84.0,
Firefox,CVE-2020-26977,"Al intentar conectar un sitio web usando un puerto que no responde, un atacante podría haber controlado el contenido de una pestaña mientras la barra de URL mostraba el dominio original.&#xa0;*Nota: este problema solo afecta a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 84",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,84.0,
Firefox,CVE-2021-23976,"Cuando se acepta una intención maliciosa de otras aplicaciones instaladas, Firefox para Android aceptó manifiestos de rutas de archivos arbitrarias y permitió declarar manifiestos de aplicaciones web para otros orígenes.&#xa0;Esto podría usarse para conseguir acceso a pantalla completa para la suplantación de la interfaz de usuario y también podría conllevar a ataques de origen cruzado en sitios web específicos.&#xa0;Nota: Este problema es diferente de CVE-2020-26954 y solo afecta a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 86",NETWORK,LOW,HIGH,HIGH,NONE,8.1,HIGH,NULL,NULL,86.0,
Firefox,CVE-2021-23957,"Las navegaciones por medio del esquema de URL ""intent"" específico de Android podrían haber sido usado inapropiadamente para escapar del sandbox de iframe.&#xa0;Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 85",NETWORK,LOW,NONE,HIGH,NONE,7.4,HIGH,NULL,NULL,85.0,
Firefox,CVE-2021-23959,"Un bug de tipo XSS en las páginas de error internas podría conllevar a varios ataques de suplantación de identidad, incluyendo otras páginas de error y la barra de direcciones.&#xa0;Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 85",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,85.0,
Firefox,CVE-2021-23977,Firefox para Android sufrió una vulnerabilidad de tipo time-of-check-time-of-use que permitía a una aplicación maliciosa leer datos confidenciales desde los directorios de la  aplicación.&#xa0;Nota: este problema solo afecta a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 86,NETWORK,HIGH,HIGH,NONE,NONE,5.3,MEDIUM,NULL,NULL,86.0,
Firefox,CVE-2021-29952,"Cuando se destruían los componentes de Web Render, una condición de carrera podría haber causado un comportamiento indefinido, y presumimos que con suficiente esfuerzo podría haber sido explotable para ejecutar código arbitrario. Esta vulnerabilidad afecta a Firefox versiones anteriores a 88.0.1 y a Firefox para Android versiones anteriores a 88.1.3",NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,NULL,NULL,88.1.3,
Firefox,CVE-2021-29953,"Una página web maliciosa podría haber forzado a un usuario de Firefox para Android a ejecutar JavaScript controlado por el atacante en el contexto de otro dominio, resultando en una vulnerabilidad de tipo Universal Cross-Site Scripting . *Nota: Este problema sólo afecta a Firefox para Android. Otros sistemas operativos no están afectados. Se están reteniendo temporalmente más detalles para dar a usuarios la oportunidad de actualizarse. Esta vulnerabilidad afecta a Firefox versiones anteriores a 88.0.1 y a Firefox para Android versiones anteriores a 88.1.3",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,88.1.3,
Firefox,CVE-2021-29962,Firefox para Android se volvía inestable y difícil de recuperar cuando un sitio web abría demasiadas ventanas emergentes. *Este bug sólo afecta a Firefox para Android. Otros sistemas operativos no están afectados.*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 89,NETWORK,LOW,NONE,NONE,LOW,4.3,MEDIUM,NULL,NULL,89.0,
Firefox,CVE-2021-29963,Las sugerencias de búsqueda de la barra de direcciones en el modo de navegación privada reusaban los datos de la sesión del modo normal. *Este bug sólo afecta a Firefox para Android. Otros sistemas operativos no están afectados*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 89,NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,89.0,
Firefox,CVE-2021-29965,Un sitio web malicioso que causa que se genere un diálogo de autenticación HTTP podría engañar al gestor de contraseñas integrado para sugerir contraseñas para el sitio web actualmente activo en lugar del sitio web que desencadenó el diálogo. *Este bug sólo afecta a Firefox para Android. Otros sistemas operativos no están afectados. Esta vulnerabilidad afecta a Firefox versiones anteriores a 89,NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,NULL,NULL,89.0,
Firefox,CVE-2021-29971,"Si un usuario ha concedido un permiso a una página web y ha guardado esa concesión, cualquier página web que se ejecute en el mismo host -independientemente del esquema o del puerto- recibirá ese permiso. *Este bug sólo afecta a Firefox para Android. Otros sistemas operativos no se ven afectados*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 90",NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL,NULL,90.0,
Firefox,CVE-2021-29973,El autocompletado de contraseñas se activaba sin la interacción del usuario en sitios web no seguros en Firefox para Android. Esto fue corregido para requerir la interacción del usuario con la página antes de que la contraseña de un usuario fuera introducida por la funcionalidad autofill del navegador *Este bug solo afecta a Firefox para Android. Otros sistemas operativos no están afectados*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 90,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,90.0,
Firefox,CVE-2021-29993,"Firefox para Android permitía una navegación mediante el protocolo ""intent://"", lo que podía ser usado para causar bloqueos y falsificaciones de la Interfaz de Usuario. *Este bug sólo afecta a Firefox para Android. Otros sistemas operativos no están afectados*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 92",NETWORK,LOW,NONE,HIGH,HIGH,8.1,HIGH,NULL,NULL,92.0,
Firefox,CVE-2022-26485,"La eliminación de un parámetro XSLT durante el procesamiento podría haber dado lugar a un use-after-free explotable. Hemos recibido informes de ataques en la naturaleza que abusan de esta falla. Esta vulnerabilidad afecta a Firefox &lt; 97.0.2, Firefox ESR &lt; 91.6.1, Firefox para Android &lt; 97.3.0, Thunderbird &lt; 91.6.2 y Focus &lt; 97.3.0.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,97.3.0,
Firefox,CVE-2022-26486,"Un mensaje inesperado en el framework IPC de WebGPU podría provocar un escape de la sandbox explotable y de use-after-free. Hemos recibido informes de ataques en la naturaleza que abusan de esta falla. Esta vulnerabilidad afecta a Firefox &lt; 97.0.2, Firefox ESR &lt; 91.6.1, Firefox para Android &lt; 97.3.0, Thunderbird &lt; 91.6.2 y Focus &lt; 97.3.0.",NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,NULL,NULL,97.3.0,
Firefox,CVE-2022-38474,Un sitio web que tuviera permiso para acceder al micrófono podría grabar audio sin que se mostrara la notificación de audio. Este error no permite que el atacante omita la solicitud de permiso; solo afecta la notificación que se muestra una vez que se ha otorgado el permiso.<br>*Este error solo afecta a Firefox para Android. Otros sistemas operativos no se ven afectados.*. Esta vulnerabilidad afecta a Firefox &lt; 104.,NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,104.0,
Firefox,CVE-2023-23600,Per origin notification permissions were being stored in a way that didn't take into account what browsing context the permission was granted in. This lead to the possibility of notifications to be displayed during different browsing sessions.<br>*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 109.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,109.0,
Firefox,CVE-2023-25748,"By displaying a prompt with a long description, the fullscreen notification could have been hidden, resulting in potential user confusion or spoofing attacks. <br>*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 111.",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,111.0,
Firefox,CVE-2023-25749,"Android applications with unpatched vulnerabilities can be launched from a browser using Intents, exposing users to these vulnerabilities. Firefox will now confirm with users that they want to launch an external application before doing so. <br>*This bug only affects Firefox for Android. Other versions of Firefox are unaffected.*. This vulnerability affects Firefox < 111.",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,111.0,
Firefox,CVE-2023-28159,"The fullscreen notification could have been hidden on Firefox for Android by using download popups, resulting in potential user confusion or spoofing attacks. <br>*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 111.",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,111.0,
Firefox,CVE-2023-29533,"A website could have obscured the fullscreen notification by using a combination of <code>window.open</code>, fullscreen requests, <code>window.name</code> assignments, and <code>setInterval</code> calls. This could have led to user confusion and possible spoofing attacks. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29535,"Following a Garbage Collector compaction, weak maps may have been accessed before they were correctly traced. This resulted in memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29536,"An attacker could cause the memory manager to incorrectly free a pointer that addresses attacker-controlled memory, resulting in an assertion, memory corruption, or a potentially exploitable crash. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29537,"Multiple race conditions in the font initialization could have led to memory corruption and execution of attacker-controlled code. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29538,"Under specific circumstances a WebExtension may have received a <code>jar:file:///</code> URI instead of a <code>moz-extension:///</code> URI during a load request. This leaked directory paths on the user's machine. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29539,"When handling the filename directive in the Content-Disposition header, the filename would be truncated if the filename contained a NULL character. This could have led to reflected file download attacks potentially tricking users to install malware. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29540,"Using a redirect embedded into <code>sourceMappingUrls</code> could allow for navigation to external protocol links in sandboxed iframes without <code>allow-top-navigation-to-custom-protocols</code>. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29541,"Firefox did not properly handle downloads of files ending in <code>.desktop</code>, which can be interpreted to run attacker-controlled commands. <br>*This bug only affects Firefox for Linux on certain Distributions. Other operating systems are unaffected, and Mozilla is unable to enumerate all affected Linux Distributions.*. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29543,"An attacker could have caused memory corruption and a potentially exploitable use-after-free of a pointer in a global object's debugger vector. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29544,"If multiple instances of resource exhaustion occurred at the incorrect time, the garbage collector could have caused memory corruption and a potentially exploitable crash. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29548,"A wrong lowering instruction in the ARM64 Ion compiler resulted in a wrong optimization result. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29549,"Under certain circumstances, a call to the <code>bind</code> function may have resulted in the incorrect realm. This may have created a vulnerability relating to JavaScript-implemented sandboxes such as SES. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,112.0,
Firefox,CVE-2023-29550,"Memory safety bugs present in Firefox 111 and Firefox ESR 102.9. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 112, Focus for Android < 112, Firefox ESR < 102.10, Firefox for Android < 112, and Thunderbird < 102.10.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-29551,"Memory safety bugs present in Firefox 111. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox for Android < 112, Firefox < 112, and Focus for Android < 112.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,112.0,
Firefox,CVE-2023-25747,"A potential use-after-free in libaudio was fixed by disabling the AAudio backend when running on Android API below version 30.
*This bug only affects Firefox for Android. Other versions of Firefox are unaffected.* This vulnerability affects Firefox for Android < 110.1.0.",NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,110.1,
Firefox,CVE-2023-29534,"Different techniques existed to obscure the fullscreen notification in Firefox and Focus for Android.  These could have led to potential user confusion and spoofing attacks.

*This bug only affects Firefox and Focus for Android. Other versions of Firefox are unaffected.* This vulnerability affects Firefox for Android < 112 and Focus for Android < 112.

",NETWORK,LOW,HIGH,HIGH,NONE,9.1,CRITICAL,NULL,NULL,112.0,
Firefox,CVE-2023-29546,"When recording the screen while in Private Browsing on Firefox for Android the address bar and keyboard were not hidden, potentially leaking sensitive information. 

*This bug only affects Firefox for Android. Other operating systems are unaffected.* This vulnerability affects Firefox for Android < 112 and Focus for Android < 112.

",NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,112.0,
Microsoft Teams,CVE-2022-21965,Una Vulnerabilidad de Denegación de Servicio en Microsoft Teams,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,,
Microsoft Teams,CVE-2023-29328,Microsoft Teams Remote Code Execution Vulnerability,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,1.0.0.2023070204,
Microsoft Teams,CVE-2023-29330,Microsoft Teams Remote Code Execution Vulnerability,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,1.0.0.2023070204,
Authenticator,CVE-2022-35290,"En determinadas condiciones, SAP Authenticator para Android permite a un atacante acceder a información que de otro modo estaría restringida",NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL,1.2.17,
